food_code,food_name,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug,servings_unit,unit_serving_energy_kj,unit_serving_energy_kcal,unit_serving_carb_g,unit_serving_protein_g,unit_serving_fat_g,unit_serving_freesugar_g,unit_serving_fibre_g,unit_serving_sfa_mg,unit_serving_mufa_mg,unit_serving_pufa_mg,unit_serving_cholesterol_mg,unit_serving_calcium_mg,unit_serving_phosphorus_mg,unit_serving_magnesium_mg,unit_serving_sodium_mg,unit_serving_potassium_mg,unit_serving_iron_mg,unit_serving_copper_mg,unit_serving_selenium_ug,unit_serving_chromium_mg,unit_serving_manganese_mg,unit_serving_molybdenum_mg,unit_serving_zinc_mg,unit_serving_vita_ug,unit_serving_vite_mg,unit_serving_vitd2_ug,unit_serving_vitd3_ug,unit_serving_vitk1_ug,unit_serving_vitk2_ug,unit_serving_folate_ug,unit_serving_vitb1_mg,unit_serving_vitb2_mg,unit_serving_vitb3_mg,unit_serving_vitb5_mg,unit_serving_vitb6_mg,unit_serving_vitb7_ug,unit_serving_vitb9_ug,unit_serving_vitc_mg,unit_serving_carotenoids_ug
ASC289,Carrot kheer (Gajar ki kheer),asc_manual,358.6,85.35,10.09,2.81,3.85,9.63,0.73,2161.02,1125.08,208.77,0.0,100.12,85.07,10.8,28.54,142.34,0.28,0.05,0.81,0.0,0.06,0.02,0.32,0.0,0.32,0.23,0.0,2.93,0.0,9.66,0.03,0.09,0.12,0.32,0.05,1.81,9.66,2.57,1632.53,bowl,912.38,217.16,25.67,7.14,9.8,24.51,1.87,5498.28,2862.55,531.19,0.0,254.73,216.44,27.47,72.61,362.14,0.7,0.12,2.05,0.01,0.15,0.05,0.81,0.0,0.81,0.59,0.0,7.45,0.0,24.59,0.08,0.24,0.3,0.81,0.13,4.6,24.59,6.54,4153.66
ASC290,Cauliflower kheer (Phoolgobhi ki kheer),asc_manual,344.14,81.95,8.78,3.04,3.95,8.49,0.55,2254.54,1140.19,190.58,0.0,101.75,87.52,11.22,25.19,145.2,0.3,0.04,0.86,0.0,0.05,0.02,0.33,0.0,0.28,0.19,0.0,1.92,0.0,12.11,0.03,0.1,0.12,0.36,0.05,1.96,12.11,7.86,171.81,bowl,1047.68,249.49,26.74,9.25,12.03,25.85,1.68,6863.5,3471.08,580.19,0.0,309.76,266.43,34.15,76.7,442.04,0.92,0.13,2.63,0.01,0.15,0.05,1.0,0.0,0.85,0.57,0.0,5.85,0.0,36.87,0.09,0.31,0.37,1.11,0.16,5.97,36.87,23.92,523.05
ASC291,Moong dal kheer,asc_manual,324.23,77.16,9.89,2.95,2.97,7.92,0.4,1690.49,855.02,141.55,0.0,75.66,76.45,11.91,16.34,123.56,0.28,0.06,2.46,0.0,0.05,0.05,0.31,0.0,0.22,0.09,0.0,0.34,0.0,7.97,0.03,0.07,0.13,0.27,0.03,1.25,7.97,1.25,146.93,bowl,1314.53,312.82,40.11,11.97,12.06,32.1,1.6,6853.75,3466.52,573.89,0.0,306.77,309.96,48.29,66.23,500.94,1.14,0.26,9.96,0.01,0.21,0.21,1.26,0.0,0.87,0.35,0.0,1.36,0.0,32.3,0.13,0.3,0.52,1.11,0.13,5.08,32.3,5.06,595.71
ASC292,Phirni,asc_manual,487.8,116.12,16.11,3.49,4.34,10.79,0.36,2375.52,1344.98,234.85,0.0,104.57,96.3,11.53,22.47,114.51,0.23,0.06,0.93,0.0,0.08,0.03,0.39,0.0,0.39,0.01,0.0,0.17,0.0,7.01,0.04,0.1,0.27,0.34,0.05,1.75,7.01,1.74,175.6,bowl,1415.69,337.0,46.75,10.12,12.61,31.31,1.04,6894.25,3903.39,681.57,0.0,303.48,279.48,33.46,65.22,332.32,0.66,0.17,2.69,0.01,0.24,0.09,1.14,0.0,1.14,0.04,0.0,0.49,0.0,20.33,0.11,0.29,0.78,0.98,0.15,5.07,20.33,5.04,509.63
ASC293,Semolina halwa (Suji ka halwa),asc_manual,940.23,225.65,24.67,2.16,13.38,13.98,1.86,7412.72,3906.35,857.21,30.82,11.77,27.64,13.08,1.28,70.46,0.65,0.11,1.83,0.0,0.48,0.05,0.42,115.52,1.21,1.46,0.0,0.37,0.0,4.99,0.05,0.01,0.25,0.13,0.02,0.13,4.99,0.03,279.71,bowl,1500.79,360.18,39.37,3.45,21.36,22.31,2.96,11832.19,6235.31,1368.28,49.2,18.79,44.12,20.87,2.04,112.47,1.05,0.18,2.92,0.0,0.76,0.08,0.67,184.4,1.93,2.33,0.0,0.59,0.0,7.96,0.08,0.02,0.4,0.21,0.03,0.21,7.96,0.05,446.48
ASC294,Shahi suji halwa,asc_manual,1595.02,382.34,44.44,3.48,21.73,27.21,2.96,12035.97,6342.52,1389.81,50.05,18.64,43.89,20.88,2.18,99.83,0.98,0.18,2.94,0.0,0.77,0.07,0.69,187.59,1.96,2.35,0.0,0.58,0.0,7.58,0.08,0.02,0.4,0.21,0.03,0.21,7.58,0.02,451.42,bowl,1567.91,375.84,43.68,3.42,21.36,26.75,2.91,11831.36,6234.7,1366.18,49.2,18.32,43.15,20.53,2.15,98.13,0.97,0.18,2.89,0.0,0.76,0.06,0.67,184.4,1.93,2.31,0.0,0.57,0.0,7.46,0.08,0.02,0.39,0.21,0.03,0.2,7.46,0.02,443.75
ASC295,Carrot halwa (Gajar ka halwa),asc_manual,722.36,172.64,18.53,3.11,9.73,16.85,2.65,5410.09,2812.91,694.99,14.66,106.94,98.65,22.98,39.96,249.93,0.76,0.1,5.73,0.02,0.24,0.03,0.54,54.94,0.72,0.93,0.0,11.04,0.0,26.7,0.05,0.04,0.22,0.26,0.08,3.56,26.7,3.89,5740.77,bowl,1212.2,289.71,31.1,5.22,16.33,28.28,4.45,9078.68,4720.35,1166.26,24.6,179.46,165.55,38.57,67.05,419.41,1.28,0.17,9.61,0.03,0.39,0.05,0.91,92.2,1.2,1.56,0.0,18.52,0.0,44.8,0.08,0.07,0.38,0.44,0.13,5.97,44.8,6.53,9633.59
ASC296,Egg halwa (Ande ka halwa),asc_manual,1262.47,299.74,39.59,7.85,13.41,37.85,0.49,5538.16,3406.17,883.44,204.93,35.77,96.9,7.93,83.04,119.03,1.45,0.06,21.01,0.0,0.21,0.01,0.69,159.92,1.14,0.23,0.44,0.04,7.57,25.57,0.03,0.1,0.06,0.76,0.08,9.48,25.57,0.0,187.68,bowl,1218.28,289.25,38.2,7.58,12.94,36.53,0.47,5344.32,3286.96,852.52,197.76,34.52,93.51,7.66,80.14,114.86,1.39,0.06,20.28,0.0,0.2,0.01,0.67,154.32,1.1,0.22,0.42,0.03,7.3,24.67,0.03,0.1,0.06,0.74,0.08,9.14,24.67,0.0,181.11
ASC297,Potato halwa (Aloo ka halwa),asc_manual,637.97,151.66,29.18,1.53,3.48,17.42,1.64,1576.78,1203.12,406.25,6.23,14.15,41.83,25.15,4.23,451.73,0.63,0.11,0.7,0.0,0.27,0.04,0.3,23.34,0.56,0.33,0.0,1.83,0.0,13.11,0.05,0.01,0.88,0.31,0.08,1.12,13.11,18.34,214.71,bowl,1008.25,239.69,46.11,2.41,5.51,27.53,2.59,2491.94,1901.4,642.04,9.84,22.36,66.11,39.74,6.68,713.91,1.0,0.18,1.1,0.0,0.43,0.06,0.47,36.88,0.88,0.52,0.0,2.89,0.0,20.72,0.08,0.02,1.39,0.5,0.13,1.77,20.72,28.98,339.33
ASC298,Pumpkin halwa (Kaddu ka halwa),asc_manual,800.8,190.27,27.6,1.33,8.81,26.64,2.97,5136.91,1800.28,469.31,9.52,24.34,35.1,19.35,8.09,235.46,0.63,0.15,1.97,0.0,0.31,0.06,0.25,35.68,1.37,1.08,0.0,54.33,0.0,17.99,0.03,0.03,0.37,0.14,0.06,1.17,17.99,5.21,1021.15,bowl,1241.57,295.0,42.8,2.06,13.66,41.3,4.61,7964.27,2791.15,727.62,14.76,37.74,54.42,30.01,12.54,365.06,0.98,0.23,3.06,0.0,0.48,0.09,0.39,55.32,2.13,1.68,0.0,84.23,0.0,27.9,0.04,0.04,0.58,0.22,0.1,1.82,27.9,8.08,1583.19
