food_code,food_name,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug,servings_unit,unit_serving_energy_kj,unit_serving_energy_kcal,unit_serving_carb_g,unit_serving_protein_g,unit_serving_fat_g,unit_serving_freesugar_g,unit_serving_fibre_g,unit_serving_sfa_mg,unit_serving_mufa_mg,unit_serving_pufa_mg,unit_serving_cholesterol_mg,unit_serving_calcium_mg,unit_serving_phosphorus_mg,unit_serving_magnesium_mg,unit_serving_sodium_mg,unit_serving_potassium_mg,unit_serving_iron_mg,unit_serving_copper_mg,unit_serving_selenium_ug,unit_serving_chromium_mg,unit_serving_manganese_mg,unit_serving_molybdenum_mg,unit_serving_zinc_mg,unit_serving_vita_ug,unit_serving_vite_mg,unit_serving_vitd2_ug,unit_serving_vitd3_ug,unit_serving_vitk1_ug,unit_serving_vitk2_ug,unit_serving_folate_ug,unit_serving_vitb1_mg,unit_serving_vitb2_mg,unit_serving_vitb3_mg,unit_serving_vitb5_mg,unit_serving_vitb6_mg,unit_serving_vitb7_ug,unit_serving_vitb9_ug,unit_serving_vitc_mg,unit_serving_carotenoids_ug
ASC056,Boiled egg (Ubla anda),asc_manual,189.77,45.35,0.12,4.43,3.04,0.0,0.11,981.64,1154.18,385.02,121.19,17.75,61.74,4.88,170.94,50.91,0.64,0.03,13.43,0.0,0.03,0.01,0.41,65.56,0.5,0.09,0.28,0.57,4.84,16.4,0.02,0.06,0.04,0.49,0.05,6.05,16.4,0.0,52.05,egg,286.55,68.49,0.18,6.69,4.59,0.0,0.17,1482.27,1742.81,581.38,183.0,26.8,93.22,7.37,258.12,76.88,0.97,0.04,20.28,0.0,0.05,0.02,0.62,99.0,0.76,0.13,0.42,0.86,7.3,24.77,0.03,0.1,0.06,0.74,0.08,9.14,24.77,0.0,78.6
ASC057,Fried Egg ,asc_manual,928.19,223.67,0.31,11.59,19.62,0.0,0.29,3969.3,5413.97,8405.42,316.88,46.4,161.43,12.75,446.96,133.13,1.69,0.08,35.12,0.0,0.08,0.04,1.08,171.43,7.07,0.22,0.73,2.22,12.65,42.89,0.05,0.17,0.1,1.28,0.14,15.82,42.89,0.0,136.1,egg,536.03,129.17,0.18,6.69,11.33,0.0,0.17,2292.27,3126.56,4854.13,183.0,26.8,93.22,7.37,258.12,76.88,0.98,0.04,20.28,0.0,0.05,0.02,0.62,99.0,4.08,0.13,0.42,1.28,7.3,24.77,0.03,0.1,0.06,0.74,0.08,9.14,24.77,0.0,78.6
ASC058,Poached egg,asc_manual,518.05,123.87,0.37,11.98,8.19,0.05,0.3,2646.91,3112.17,1038.18,326.79,48.24,167.21,14.79,1163.07,141.3,1.75,0.08,36.29,0.0,0.09,0.04,1.12,176.79,1.36,0.23,0.75,1.53,13.04,44.23,0.05,0.17,0.11,1.32,0.15,16.32,44.23,0.0,140.35,egg,290.11,69.37,0.21,6.71,4.59,0.03,0.17,1482.27,1742.81,581.38,183.0,27.01,93.64,8.28,651.32,79.13,0.98,0.05,20.32,0.0,0.05,0.02,0.63,99.0,0.76,0.13,0.42,0.86,7.3,24.77,0.03,0.1,0.06,0.74,0.08,9.14,24.77,0.0,78.6
ASC059,Scrambled egg (Ande ki bhurji),asc_manual,649.51,155.97,1.35,10.29,12.21,1.08,0.24,5674.17,3944.74,1021.83,273.6,64.59,155.18,12.41,374.66,136.01,1.42,0.07,29.18,0.0,0.07,0.03,0.96,196.17,1.24,0.18,0.6,1.64,10.44,36.89,0.05,0.16,0.1,1.13,0.12,13.49,36.89,0.43,189.88,egg,454.66,109.18,0.95,7.2,8.55,0.76,0.17,3971.92,2761.31,715.28,191.52,45.22,108.63,8.69,262.26,95.21,0.99,0.05,20.42,0.0,0.05,0.02,0.68,137.32,0.87,0.13,0.42,1.15,7.3,25.82,0.03,0.11,0.07,0.79,0.09,9.44,25.82,0.3,132.91
ASC060,Baked egg ,asc_manual,916.63,218.85,15.42,11.88,12.65,1.66,1.03,6173.04,3702.29,838.99,204.36,164.05,236.01,17.94,523.29,143.69,1.48,0.09,22.9,0.0,0.2,0.02,1.21,185.54,0.95,0.13,0.42,1.45,7.23,35.37,0.1,0.16,0.55,0.82,0.11,9.89,35.37,0.0,122.02,egg,925.8,221.04,15.57,12.0,12.78,1.68,1.04,6234.77,3739.31,847.38,206.4,165.69,238.38,18.11,528.52,145.13,1.5,0.09,23.13,0.0,0.2,0.02,1.23,187.4,0.96,0.13,0.42,1.47,7.3,35.72,0.11,0.16,0.55,0.83,0.11,9.99,35.72,0.0,123.25
ASC061,Plain omelette/omlet,asc_manual,1127.43,272.41,0.64,9.66,25.74,0.51,0.12,4620.5,6433.86,12775.58,255.94,48.4,140.01,10.22,226.18,114.08,1.35,0.06,28.42,0.0,0.04,0.02,0.9,138.46,10.38,0.09,0.59,1.79,10.22,35.3,0.05,0.14,0.09,1.06,0.12,12.98,35.3,0.21,123.14,omelette,1612.22,389.55,0.92,13.82,36.81,0.74,0.17,6607.32,9200.42,18269.08,366.0,69.21,200.21,14.61,323.44,163.13,1.93,0.09,40.64,0.0,0.06,0.02,1.29,198.0,14.84,0.13,0.84,2.56,14.61,50.48,0.06,0.21,0.13,1.52,0.17,18.55,50.48,0.3,176.1
ASC062,Stuffed egg omelette/omlet,asc_manual,843.31,203.51,2.3,8.6,17.77,1.57,0.75,4762.88,4522.7,7171.77,154.38,89.91,182.39,14.15,267.19,161.72,0.91,0.06,16.65,0.0,0.07,0.01,0.9,115.96,5.77,3.21,0.32,5.16,5.58,26.8,0.08,0.12,0.58,0.78,0.13,9.02,26.8,3.16,649.98,omelette,2209.48,533.21,6.03,22.54,46.57,4.11,1.97,12478.76,11849.49,18790.03,404.47,235.56,477.85,37.07,700.03,423.71,2.4,0.16,43.63,0.0,0.19,0.03,2.37,303.82,15.13,8.4,0.84,13.53,14.61,70.23,0.22,0.31,1.51,2.06,0.35,23.64,70.23,8.29,1702.94
ASC063,Pancake,asc_manual,846.21,203.36,20.49,5.68,10.82,3.32,0.65,2766.08,2526.38,4767.85,35.93,79.49,101.29,13.56,143.7,116.83,0.69,0.07,4.53,0.0,0.16,0.01,0.52,19.44,3.78,1.59,0.08,0.68,1.43,12.84,0.06,0.1,0.24,0.52,0.06,3.1,12.84,1.19,195.39,pancake,357.74,85.97,8.66,2.4,4.57,1.4,0.28,1169.36,1068.03,2015.61,15.19,33.6,42.82,5.73,60.75,49.39,0.29,0.03,1.92,0.0,0.07,0.0,0.22,8.22,1.6,0.67,0.03,0.29,0.61,5.43,0.02,0.04,0.1,0.22,0.02,1.31,5.43,0.5,82.6
ASC064,Keema pancake,asc_manual,733.07,176.27,9.56,9.01,11.25,2.2,0.84,4774.82,3416.92,2148.88,46.43,40.96,110.68,16.95,125.4,198.42,0.93,0.07,2.47,0.0,0.17,0.01,1.46,38.43,1.6,2.13,0.03,4.3,0.55,11.08,0.07,0.11,1.83,0.57,0.12,2.32,11.08,4.2,770.6,pancake,809.19,194.58,10.55,9.94,12.41,2.42,0.93,5270.56,3771.68,2371.99,51.25,45.22,122.17,18.71,138.42,219.02,1.02,0.08,2.73,0.0,0.18,0.01,1.61,42.42,1.77,2.35,0.03,4.75,0.61,12.23,0.08,0.12,2.02,0.63,0.13,2.56,12.23,4.64,850.61
ASC065,Vegetable pancake,asc_manual,520.55,125.18,12.24,3.87,6.57,2.09,2.48,2574.5,1578.67,1920.98,19.32,42.89,63.25,19.91,116.69,230.72,0.79,0.09,2.07,0.0,0.21,0.01,0.48,35.17,1.54,4.21,0.03,13.94,0.52,24.39,0.09,0.06,0.55,0.46,0.1,2.48,24.39,17.61,1985.42,pancake,609.83,146.64,14.33,4.53,7.7,2.44,2.9,3016.03,1849.41,2250.43,22.63,50.24,74.09,23.32,136.71,270.29,0.92,0.1,2.43,0.0,0.24,0.01,0.56,41.2,1.8,4.93,0.03,16.33,0.61,28.57,0.1,0.07,0.65,0.54,0.12,2.91,28.57,20.63,2325.92
